ID Northing Easting Elevation Code
1 1145461.483 3603092.893 56.8344 EP
2 1145450.054 3603081.829 57.0308 EP
3 1145437.452 3603069.649 57.2913 EP
4 1145424.818 3603057.428 57.5439 EP
5 1145415.986 3603048.884 57.5707 EP
6 1145407.337 3603040.519 57.6456 EP
7 1145394.139 3603026.324 57.8582 EP
8 1145386.635 3603016.708 57.9966 EP
9 1145379.698 3603006.469 58.1129 EP
10 1145373.294 3602995.459 58.1684 EP
11 1145367.201 3602982.973 58.2029 EP
12 1145361.803 3602969.291 58.2351 EP
13 1145358.351 3602958.288 58.4097 EP
14 1145453.854 3603100.78 56.7456 EP
15 1145442.215 3603089.522 56.9761 EP
16 1145429.961 3603077.669 57.2315 EP
17 1145417.28 3603065.403 57.3737 EP
18 1145408.234 3603056.653 57.4533 EP
19 1145399.708 3603048.406 57.5814 EP
20 1145386.203 3603033.937 57.763 EP
21 1145377.41 3603022.679 57.8703 EP
22 1145369.683 3603011.148 57.9297 EP
23 1145363.042 3602999.551 57.9589 EP
24 1145357.22 3602987.534 57.9713 EP
25 1145350.754 3602970.896 58.0814 EP
26 1145346.93 3602958.086 58.3555 EP
27 1145345.193 3602950.879 58.5233 EP
28 1145457.668 3603096.836 56.7864 CLRD
29 1145446.426 3603085.962 56.9916 CLRD
30 1145434.116 3603074.055 57.2397 CLRD
31 1145421.402 3603061.757 57.4672 CLRD
32 1145412.656 3603053.298 57.4894 CLRD
33 1145403.523 3603044.463 57.6164 CLRD
34 1145390.257 3603030.234 57.8152 CLRD
35 1145382.393 3603020.202 57.9384 CLRD
36 1145375.094 3603009.454 58.0204 CLRD
37 1145368.588 3602998.293 58.0615 CLRD
38 1145362.497 3602985.898 58.0863 CLRD
39 1145357.063 3602972.346 58.1172 CLRD
40 1145353.853 3602962.498 58.293 CLRD
41 1145351.773 3602954.884 58.4473 CLRD
42 1145452.583 3603102.094 56.7343 ES
43 1145440.898 3603090.792 56.9653 ES
44 1145428.806 3603079.096 57.2215 ES
45 1145415.829 3603066.544 57.3402 ES
46 1145406.987 3603057.991 57.4434 ES
47 1145398.437 3603049.721 57.5675 ES
48 1145384.788 3603035.096 57.7449 ES
49 1145375.828 3603023.612 57.8242 ES
50 1145368.16 3603012.162 57.8872 ES
51 1145361.444 3603000.441 57.9235 ES
52 1145355.51 3602988.242 57.9323 ES
53 1145348.934 3602971.219 58.0429 ES
54 1145345.452 3602959.649 58.3038 ES
55 1145343.079 3602949.761 58.4485 ES
56 1145451.862 3603102.67 56.4313 BOTD
57 1145440.197 3603091.387 56.6617 BOTD
58 1145428.024 3603079.611 56.9199 BOTD
59 1145415.233 3603067.239 57.0354 BOTD
60 1145406.299 3603058.598 57.1393 BOTD
61 1145397.801 3603050.378 57.2628 BOTD
62 1145384.169 3603035.781 57.4393 BOTD
63 1145375.116 3603024.187 57.5197 BOTD
64 1145367.395 3603012.663 57.5825 BOTD
65 1145360.746 3603001.077 57.6185 BOTD
66 1145354.66 3602988.528 57.6279 BOTD
67 1145348.296 3602972.189 57.73 BOTD
68 1145344.114 3602958.156 58.022 BOTD
69 1145342.112 3602949.607 58.8452 BOTD
70 1145451.311 3603103.409 56.7231 TOPD
71 1145439.617 3603092.029 56.9496 TOPD
72 1145427.396 3603080.245 57.2172 TOPD
73 1145414.649 3603067.84 57.3148 TOPD
74 1145405.672 3603059.227 57.4357 TOPD
75 1145397.194 3603051.006 57.5539 TOPD
76 1145383.621 3603036.415 57.7158 TOPD
77 1145374.589 3603024.769 57.7764 TOPD
78 1145366.966 3603013.278 57.8119 TOPD
79 1145360.127 3603001.751 57.9065 TOPD
80 1145353.881 3602988.872 57.9119 TOPD
81 1145347.528 3602972.402 57.9959 TOPD
82 1145343.732 3602959.451 58.2451 TOPD
83 1145341.231 3602949.557 58.4545 TOPD
84 1145347.455 3602968.133 58.0987 DW
85 1145345.658 3602967.256 58.1132 DW
86 1145343.389 3602966.582 58.0961 DW
87 1145340.903 3602966.81 58.1059 DW
88 1145330.827 3602964.899 58.3367 DW
